"STATE","ST_CASE","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","NHS","RUR_URB","FUNC_SYS","RD_OWNER","ROUTE","TWAY_ID","TWAY_ID2","MILEPT","LATITUDE","LONGITUD","SP_JUR","HARM_EV","MAN_COLL","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER1","WEATHER2","WEATHER","SCH_BUS","RAIL","NOT_HOUR","NOT_MIN","ARR_HOUR","ARR_MIN","HOSP_HR","HOSP_MN","CF1","CF2","CF3","FATALS","DRUNK_DR"
1,10001,1,1,0,0,0,1,1,73,1716,1,1,2016,6,9,25,1,2,1,1,1,"I-65","",2530,33.42645833,-86.81973056,0,42,0,0,1,1,0,5,1,1,0,1,0,"0000000",9,31,9,36,88,88,0,0,0,1,1
1,10002,1,1,0,0,0,2,2,73,1716,10,1,2016,1,19,59,1,2,1,1,1,"I-65","I-459 RAMP",2500,33.40030556,-86.78723333,0,1,0,1,5,1,0,4,3,1,0,1,0,"0000000",99,99,20,5,99,99,0,0,0,1,1
1,10003,2,1,1,0,1,1,2,73,0,1,1,2016,6,2,20,1,1,1,1,1,"I-59","",1417,33.64924444,-86.60725833,0,14,0,0,1,1,0,4,3,10,0,10,0,"0000000",99,99,2,31,88,88,0,0,0,1,0
1,10004,1,1,0,0,0,1,1,73,0,17,1,2016,1,21,45,1,1,1,1,1,"I-65","",2543,33.42995556,-86.82220556,0,25,0,0,1,1,0,3,3,1,0,1,0,"0000000",99,99,21,57,99,99,0,0,0,1,1
1,10005,1,1,0,0,0,1,1,73,3125,26,1,2016,3,20,7,1,2,1,1,1,"I-65","",2530,33.41205,-86.80557778,0,42,0,0,1,1,0,5,3,2,0,2,0,"0000000",20,7,20,10,88,88,0,0,0,1,0
1,10006,1,1,0,0,0,1,1,109,0,1,1,2016,6,1,10,0,1,4,1,3,"SR-87","",520,31.72063333,-85.95999167,0,42,0,0,1,1,0,4,2,10,0,10,0,"0000000",99,99,1,31,88,88,0,0,0,1,0
1,10007,1,1,0,0,0,1,1,117,530,1,1,2016,6,23,34,0,1,4,2,4,"CR-22","",0,33.14415,-86.79276944,0,42,0,0,1,1,0,4,2,1,0,1,0,"0000000",23,33,23,39,88,88,0,0,0,1,0
1,10008,1,1,0,0,0,1,1,83,0,4,1,2016,2,17,30,0,1,5,1,3,"SR-127","",108,34.96508056,-87.01479167,0,32,0,0,1,1,0,4,2,1,0,1,0,"0000000",17,36,17,50,88,88,0,0,0,1,1
1,10009,2,2,0,0,0,4,4,103,2545,4,1,2016,2,5,37,1,1,3,1,3,"SR-67","",310,34.50008611,-86.85370278,0,12,2,0,1,1,0,1,2,1,0,1,0,"0000000",99,99,5,50,99,99,0,0,0,2,0
1,10010,1,1,0,0,0,2,2,69,0,5,1,2016,3,15,18,0,1,5,2,4,"CR-22","",0,31.31075,-85.25213056,0,1,0,0,1,1,0,4,1,1,0,1,0,"0000000",99,99,15,30,88,88,0,0,0,2,1
1,10011,2,2,0,0,0,2,2,73,350,6,1,2016,4,8,4,0,2,4,4,6,"5TH AVE S","50TH ST S",0,33.53113611,-86.75778611,0,12,2,0,3,2,0,1,1,1,0,1,0,"0000000",99,99,8,12,88,88,0,0,0,1,0
1,10012,1,1,0,0,0,2,2,93,1540,6,1,2016,4,14,20,0,1,3,2,4,"CR-11","",0,34.124425,-88.04465556,0,42,0,0,1,1,0,4,1,1,0,1,0,"0000000",99,99,14,26,99,99,0,0,0,1,0
1,10013,1,1,0,2,2,1,1,55,0,7,1,2016,5,16,55,1,1,1,1,1,"I-59","",1785,33.96818889,-86.12080833,0,8,0,0,1,1,1,2,5,10,0,10,0,"0000000",17,5,17,26,18,4,15,0,0,1,0
1,10014,2,2,0,0,0,5,5,97,2100,8,1,2016,6,0,35,1,2,3,1,3,"SR-163","DAVID DR",0,30.62527222,-88.08787222,0,12,2,0,1,1,0,1,3,10,0,10,0,"0000000",99,99,0,41,99,99,0,0,0,1,1
1,10015,2,2,0,0,0,3,3,121,0,8,1,2016,6,7,25,0,1,5,2,4,"CR-PRIEBES MILL RD","",0,33.56590278,-85.93993056,0,12,2,0,1,1,0,1,1,10,0,10,0,"0000000",7,26,7,36,99,99,0,0,0,1,1
1,10016,1,1,0,0,0,1,1,121,0,9,1,2016,7,4,30,0,1,6,2,4,"CR-OLD FAYETTEVILLE RD","",0,33.15789167,-86.37793056,0,42,0,0,1,1,0,4,2,2,0,2,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
1,10017,1,1,0,0,0,1,1,49,0,11,1,2016,2,19,43,0,1,5,2,4,"CR-43","",0,34.437675,-85.98705556,0,34,0,0,1,1,0,4,2,1,0,1,0,"0000000",19,44,19,54,88,88,0,0,0,1,1
1,10018,1,1,0,0,0,1,1,71,0,13,1,2016,4,8,0,0,1,5,2,4,"CR-67","",0,34.56575,-86.03709444,0,34,0,0,1,1,0,4,1,1,0,1,0,"0000000",99,99,8,15,88,88,0,0,0,1,0
1,10019,1,1,0,0,0,7,7,103,0,13,1,2016,4,16,35,1,1,3,1,2,"US-SR 53","",3020,34.51645556,-86.59363333,0,34,0,0,1,1,0,4,1,1,0,1,0,"0000000",16,42,16,46,17,9,0,0,0,1,0
1,10020,3,2,1,0,0,8,8,123,550,10,1,2016,1,1,20,0,1,6,4,6,"MARTIN LUTHER KING ST","HOLLEY AVE",0,32.80048889,-85.64495833,0,12,6,0,2,2,0,1,2,2,0,2,0,"0000000",1,28,1,43,2,12,0,0,0,4,1
1,10021,2,2,0,0,0,3,3,79,0,13,1,2016,4,7,30,1,1,4,1,3,"SR-36","SR-157",80,34.41686944,-87.16152778,0,12,6,0,2,2,0,1,1,1,0,1,0,"0000000",7,38,7,44,8,0,0,0,0,1,0
1,10022,4,2,2,0,0,2,2,73,350,14,1,2016,5,10,35,0,1,3,4,6,"4TH AVE S","27TH ST S",0,33.51363889,-86.79241667,0,12,6,0,2,2,0,1,1,1,0,1,0,"0000000",10,38,10,46,11,5,20,14,0,1,0
1,10023,1,1,0,0,0,2,2,83,9997,14,1,2016,5,4,35,0,1,4,1,3,"SR-127","",39,34.87481944,-86.98070556,0,34,0,0,1,1,0,4,2,1,0,1,0,"0000000",99,99,4,55,88,88,0,0,0,2,0
