"STATE","ST_CASE","VEH_NO","VE_FORMS","NUMOCCS","DAY","MONTH","HOUR","MINUTE","HARM_EV","MAN_COLL","UNITTYPE","HIT_RUN","REG_STAT","OWNER","MAKE","MODEL","MAK_MOD","BODY_TYP","MOD_YEAR","VIN","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","TOW_VEH","J_KNIFE","MCARR_I1","MCARR_I2","MCARR_ID","GVWR","V_CONFIG","CARGO_BT","HAZ_INV","HAZ_PLAC","HAZ_ID","HAZ_CNO","HAZ_REL","BUS_USE","SPEC_USE","EMER_USE","TRAV_SP","UNDERIDE","ROLLOVER","ROLINLOC","IMPACT1","DEFORMED","TOWED","M_HARM","VEH_SC1","VEH_SC2","FIRE_EXP","DR_PRES","L_STATE","DR_ZIP","L_STATUS","L_TYPE","CDL_STAT","L_ENDORS","L_COMPL","L_RESTRI","DR_HGT","DR_WGT","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","FIRST_MO","FIRST_YR","LAST_MO","LAST_YR","SPEEDREL","DR_SF1","DR_SF2","DR_SF3","DR_SF4","VTRAFWAY","VNUM_LAN","VSPD_LIM","VALIGN","VPROFILE","VPAVETYP","VSURCOND","VTRAFCON","VTCONT_F","P_CRASH1","P_CRASH2","P_CRASH3","PCRASH4","PCRASH5","ACC_TYPE","TRLR1VIN","TRLR2VIN","TRLR3VIN","DEATHS","DR_DRINK"
1,10001,1,1,1,1,1,9,25,42,0,1,0,1,2,20,401,20401,14,2002,"1GNDS13S9225","1","G","N","D","S","1","3","S","9","2","2","5",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,1,6,8,6,2,1,0,0,0,1,1,35040,6,1,0,0,3,0,68,140,0,0,0,1,0,11,2012,11,2012,0,58,0,0,0,2,3,60,3,6,1,1,0,0,15,12,8,4,4,8,"777777777777","777777777777","777777777777",1,1
1,10002,1,1,2,10,1,19,59,1,0,1,0,1,1,37,31,37031,4,2008,"1HGFA15938L0","1","H","G","F","A","1","5","9","3","8","L","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,1,5,0,6,2,52,0,0,0,1,1,35208,0,0,0,0,0,0,62,135,0,3,2,0,1,3,2013,12,2015,9,0,0,0,0,3,3,60,1,1,2,1,0,0,1,13,1,9,4,2,"777777777777","777777777777","777777777777",1,1
1,10003,1,1,1,1,1,2,20,14,0,1,0,1,1,20,481,20481,31,2008,"2GCEC13C8811","2","G","C","E","C","1","3","C","8","8","1","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,12,6,2,14,0,0,0,1,1,35128,6,1,0,0,3,0,71,148,2,0,0,3,0,4,2011,9,2013,0,0,0,0,0,2,2,70,1,1,2,1,0,0,1,13,1,1,4,1,"777777777777","777777777777","777777777777",1,0
1,10004,1,1,1,17,1,21,45,25,0,1,0,1,1,20,481,20481,31,2000,"2GCEC19TXY12","2","G","C","E","C","1","9","T","X","Y","1","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,12,6,2,25,0,0,0,1,1,35209,6,1,0,0,3,0,72,225,0,0,0,5,0,12,2011,1,2015,0,89,0,0,0,3,3,60,3,5,2,1,0,0,14,12,99,1,4,6,"777777777777","777777777777","777777777777",1,1
1,10005,1,1,1,26,1,20,7,42,0,1,0,1,3,20,481,20481,31,1995,"1GCEC14Z2SZ2","1","G","C","E","C","1","4","Z","2","S","Z","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,9,6,2,42,0,0,0,1,1,35127,6,1,6,0,3,1,70,210,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,60,2,5,2,2,0,0,15,6,99,2,4,2,"777777777777","777777777777","777777777777",1,0
1,10006,1,1,1,1,1,1,10,42,0,1,0,1,1,49,472,49472,30,2009,"3TMJU62N19M0","3","T","M","J","U","6","2","N","1","9","M","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,55,0,1,5,12,6,2,42,0,0,0,1,1,36081,6,1,6,0,3,0,72,225,2,0,0,0,0,4,2012,10,2014,0,58,0,0,0,1,2,55,3,5,2,1,0,0,14,13,6,2,4,7,"777777777777","777777777777","777777777777",1,0
1,10007,1,1,1,1,1,23,34,42,0,1,0,1,2,63,34,63034,4,2010,"KNAGG4A87A54","K","N","A","G","G","4","A","8","7","A","5","4",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,42,0,0,0,1,1,35115,6,1,0,0,3,0,76,230,0,0,0,0,0,0,0,0,0,9,99,99,99,99,1,2,45,3,5,2,1,0,0,14,13,99,1,4,1,"777777777777","777777777777","777777777777",1,0
1,10008,1,1,1,4,1,17,30,32,0,1,0,1,1,20,4,20004,2,2005,"1G1YY24U8551","1","G","1","Y","Y","2","4","U","8","5","5","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,130,0,1,5,10,6,2,30,0,0,0,1,1,35620,6,1,6,0,3,0,73,235,1,0,0,0,2,6,2011,7,2013,3,8,0,0,0,1,2,55,3,6,2,1,0,0,14,13,1,3,4,2,"777777777777","777777777777","777777777777",1,1
1,10009,1,2,1,4,1,5,37,12,2,1,0,1,1,35,472,35472,30,2015,"1N6AD0CU1FN7","1","N","6","A","D","0","C","U","1","F","N","7",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35612,6,1,6,0,3,1,72,175,1,0,0,0,0,2,2012,2,2012,0,89,28,0,0,1,2,55,2,1,2,1,0,0,14,10,99,1,2,51,"777777777777","777777777777","777777777777",0,0
1,10009,2,2,3,4,1,5,37,12,2,1,0,54,2,48,46,48046,3,2015,"JF1ZCAC18F86","J","F","1","Z","C","A","C","1","8","F","8","6",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35640,6,1,0,0,3,0,69,150,0,0,0,2,0,1,2015,9,2015,9,0,0,0,0,1,2,55,3,1,2,1,0,0,14,62,99,1,1,50,"777777777777","777777777777","777777777777",2,0
1,10010,1,1,2,5,1,15,18,1,0,1,0,1,2,12,3,12003,2,2006,"1ZVFT82H8652","1","Z","V","F","T","8","2","H","8","6","5","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,75,0,1,5,0,6,2,32,0,0,0,1,1,36376,6,1,0,0,3,0,76,230,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,55,2,6,2,1,0,0,14,12,1,1,4,6,"777777777777","777777777777","777777777777",2,1
1,10011,1,2,1,6,1,8,4,12,2,1,0,1,1,7,482,7482,40,2015,"1C6RR6KG0FS5","1","C","6","R","R","6","K","G","0","F","S","5",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35242,6,1,0,0,3,0,70,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,35,1,1,2,1,0,0,11,15,99,1,1,68,"777777777777","777777777777","777777777777",0,0
1,10011,2,2,1,6,1,8,4,12,2,1,0,1,1,37,31,37031,2,1998,"1HGEJ7121WL0","1","H","G","E","J","7","1","2","1","W","L","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35120,6,1,0,0,3,1,71,154,0,0,0,2,0,3,2015,10,2015,3,0,0,0,0,1,4,35,1,1,2,1,0,0,6,17,16,1,1,69,"777777777777","777777777777","777777777777",1,0
